2025-02-25 23:11:54.930 | SUCCESS  | __main__:train_save:273 - DATA LOADED AND SAMPLED !
2025-02-25 23:11:54.930 | INFO     | __main__:data_preparation:35 - Starting data preparation...
2025-02-25 23:11:55.300 | SUCCESS  | __main__:data_preparation:55 - Data preparation done !!!
2025-02-25 23:11:55.301 | INFO     | __main__:randomized_searchCV:178 - Starting randomized search...
2025-02-25 23:11:55.301 | INFO     | __main__:randomized_searchCV:180 - Training CatBoost model...
2025-02-25 23:27:50.209 | SUCCESS  | __main__:randomized_searchCV:194 - RANDOMIZED SEARCH CV FOR CatBoost MODEL DONE !
2025-02-25 23:27:50.211 | INFO     | __main__:save_training_results:59 - Saving training results...
2025-02-25 23:27:58.476 | INFO     | __main__:save_training_results:74 - CatBoost model,  frac=0.3,  Adjusted R² on the train set ----> 0.569
2025-02-25 23:27:58.477 | INFO     | __main__:save_training_results:75 - CatBoost model,  frac=0.3,  Adjusted R² on the test set ----> 0.539
2025-02-25 23:27:58.478 | INFO     | __main__:save_training_results:76 - CatBoost model,  frac=0.3,  RMSE on the train set ----> 24.696
2025-02-25 23:27:58.478 | INFO     | __main__:save_training_results:77 - CatBoost model,  frac=0.3,  RMSE on the test set ----> 25.525
2025-02-25 23:28:17.246 | INFO     | __main__:save_training_results:86 - Train set:  dw_stat = 2.00  ---->  The residuals appear random (no obvious autocorrelation).
2025-02-25 23:28:17.247 | INFO     | __main__:save_training_results:87 - Test set:  dw_stat = 2.00  ---->  The residuals appear random (no obvious autocorrelation).
2025-02-25 23:28:17.247 | SUCCESS  | __main__:save_training_results:89 - RESULT SAVED !
