2025-02-25 23:04:18.517 | SUCCESS  | __main__:train_save:273 - DATA LOADED AND SAMPLED !
2025-02-25 23:04:18.518 | INFO     | __main__:data_preparation:35 - Starting data preparation...
2025-02-25 23:04:18.643 | SUCCESS  | __main__:data_preparation:55 - Data preparation done !!!
2025-02-25 23:04:18.646 | INFO     | __main__:randomized_searchCV:178 - Starting randomized search...
2025-02-25 23:04:18.647 | INFO     | __main__:randomized_searchCV:180 - Training CatBoost model...
2025-02-25 23:11:03.214 | SUCCESS  | __main__:randomized_searchCV:194 - RANDOMIZED SEARCH CV FOR CatBoost MODEL DONE !
2025-02-25 23:11:03.216 | INFO     | __main__:save_training_results:59 - Saving training results...
2025-02-25 23:11:06.064 | INFO     | __main__:save_training_results:74 - CatBoost model,  frac=0.1,  Adjusted R² on the train set ----> 0.604
2025-02-25 23:11:06.065 | INFO     | __main__:save_training_results:75 - CatBoost model,  frac=0.1,  Adjusted R² on the test set ----> 0.532
2025-02-25 23:11:06.065 | INFO     | __main__:save_training_results:76 - CatBoost model,  frac=0.1,  RMSE on the train set ----> 23.634
2025-02-25 23:11:06.066 | INFO     | __main__:save_training_results:77 - CatBoost model,  frac=0.1,  RMSE on the test set ----> 25.765
2025-02-25 23:11:13.339 | INFO     | __main__:save_training_results:86 - Train set:  dw_stat = 2.00  ---->  The residuals appear random (no obvious autocorrelation).
2025-02-25 23:11:13.339 | INFO     | __main__:save_training_results:87 - Test set:  dw_stat = 2.00  ---->  The residuals appear random (no obvious autocorrelation).
2025-02-25 23:11:13.339 | SUCCESS  | __main__:save_training_results:89 - RESULT SAVED !
