2025-02-25 22:21:42.390 | SUCCESS  | __main__:train_save:273 - DATA LOADED AND SAMPLED !
2025-02-25 22:21:42.391 | INFO     | __main__:data_preparation:35 - Starting data preparation...
2025-02-25 22:21:42.512 | SUCCESS  | __main__:data_preparation:55 - Data preparation done !!!
2025-02-25 22:21:42.513 | INFO     | __main__:randomized_searchCV:178 - Starting randomized search...
2025-02-25 22:21:42.514 | INFO     | __main__:randomized_searchCV:180 - Training XGBoost model...
2025-02-25 22:23:22.414 | SUCCESS  | __main__:randomized_searchCV:194 - RANDOMIZED SEARCH CV FOR XGBoost MODEL DONE !
2025-02-25 22:23:22.425 | INFO     | __main__:save_training_results:59 - Saving training results...
2025-02-25 22:23:23.189 | INFO     | __main__:save_training_results:74 - XGBoost model,  frac=0.1,  Adjusted R² on the train set ----> 0.683
2025-02-25 22:23:23.189 | INFO     | __main__:save_training_results:75 - XGBoost model,  frac=0.1,  Adjusted R² on the test set ----> 0.532
2025-02-25 22:23:23.189 | INFO     | __main__:save_training_results:76 - XGBoost model,  frac=0.1,  RMSE on the train set ----> 21.160
2025-02-25 22:23:23.190 | INFO     | __main__:save_training_results:77 - XGBoost model,  frac=0.1,  RMSE on the test set ----> 25.713
2025-02-25 22:23:30.452 | INFO     | __main__:save_training_results:86 - dw_stat = 2.00  ---->  The residuals appear random (no obvious autocorrelation).
2025-02-25 22:23:30.453 | INFO     | __main__:save_training_results:87 - dw_stat = 1.99  ---->  The residuals appear random (no obvious autocorrelation).
2025-02-25 22:23:30.454 | SUCCESS  | __main__:save_training_results:89 - RESULT SAVED !
