2025-02-25 22:12:57.546 | SUCCESS  | __main__:train_save:273 - DATA LOADED AND SAMPLED !
2025-02-25 22:12:57.547 | INFO     | __main__:data_preparation:35 - Starting data preparation...
2025-02-25 22:12:59.111 | SUCCESS  | __main__:data_preparation:55 - Data preparation done !!!
2025-02-25 22:12:59.123 | INFO     | __main__:randomized_searchCV:178 - Starting randomized search...
2025-02-25 22:12:59.123 | INFO     | __main__:randomized_searchCV:180 - Training Linear model...
2025-02-25 22:12:59.130 | WARNING  | __main__:warning_handler:264 - c:\Users\Achille Nguessie\Desktop\Projects\2024\traffic-accident-impact\.venv\Lib\site-packages\sklearn\model_selection\_search.py:317 - UserWarning: The total space of parameters 1 is smaller than n_iter=20. Running 1 iterations. For exhaustive searches, use GridSearchCV.
2025-02-25 22:13:23.669 | SUCCESS  | __main__:randomized_searchCV:194 - RANDOMIZED SEARCH CV FOR Linear MODEL DONE !
2025-02-25 22:13:23.671 | INFO     | __main__:save_training_results:59 - Saving training results...
2025-02-25 22:13:27.314 | INFO     | __main__:save_training_results:74 - Linear model,  frac=1.0,  Adjusted R² on the train set ----> 0.269
2025-02-25 22:13:27.315 | INFO     | __main__:save_training_results:75 - Linear model,  frac=1.0,  Adjusted R² on the test set ----> 0.269
2025-02-25 22:13:27.315 | INFO     | __main__:save_training_results:76 - Linear model,  frac=1.0,  RMSE on the train set ----> 32.147
2025-02-25 22:13:27.316 | INFO     | __main__:save_training_results:77 - Linear model,  frac=1.0,  RMSE on the test set ----> 32.149
2025-02-25 22:14:36.047 | INFO     | __main__:save_training_results:86 - dw_stat = 2.00  ---->  The residuals appear random (no obvious autocorrelation).
2025-02-25 22:14:36.048 | INFO     | __main__:save_training_results:87 - dw_stat = 2.00  ---->  The residuals appear random (no obvious autocorrelation).
2025-02-25 22:14:36.048 | SUCCESS  | __main__:save_training_results:89 - RESULT SAVED !
